서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
22.04.19,3359097,21819,0,,,4372,22.04.19,16471940,118504,0,,21354
22.04.18,3337282,7345,0,,,4353,22.04.18,16353495,47743,0,,21224
22.04.17,3329937,14805,0,,,4329,22.04.17,16305752,93001,0,,21092
22.04.16,3315132,18118,0,,,4307,22.04.16,16212751,107916,0,,20889
22.04.15,3297020,21450,0,,,4270,22.04.15,16104869,125846,0,,20616
22.04.14,3275574,24976,0,,,4230,22.04.14,15979061,148443,0,,20352
22.04.13,3250603,33076,0,,,4176,22.04.13,15830644,195419,0,,20034
22.04.12,3217532,39518,0,,,4152,22.04.12,15635274,210755,0,,19850
22.04.11,3178037,14247,0,,,4116,22.04.11,15424598,90928,0,,19676
22.04.10,3163790,28901,0,,,4070,22.04.10,15333670,164481,0,,19421
22.04.09,3134889,32320,0,,,4002,22.04.09,15169189,185566,0,,19092
22.04.08,3102577,36212,0,,,3944,22.04.08,14983694,205333,0,,18754
22.04.07,3066376,39888,0,,,3880,22.04.07,14778405,224820,0,,18381
22.04.06,3026503,52430,0,,,3835,22.04.06,14553644,286294,0,,18033
22.04.05,2974084,51500,0,,,3771,22.04.05,14267401,266135,0,,17662
22.04.04,2922636,20894,0,,,3742,22.04.04,14001406,127190,0,,17453
22.04.03,2901742,42109,0,,,3713,22.04.03,13874216,234301,0,,17235
22.04.02,2859633,48673,0,,,3666,22.04.02,13639915,264103,0,,16929
22.04.01,2810973,51717,0,,,3608,22.04.01,13375818,280273,0,,16590
22.03.31,2759294,60131,0,,,3563,22.03.31,13095631,320743,0,,16230
22.03.30,2699163,81824,0,,,3514,22.03.30,12774956,424641,0,,15855
22.03.29,2617360,66079,0,,,3454,22.03.29,12350428,347554,0,,15423
22.03.28,2551327,34190,0,,,3412,22.03.28,12003054,187213,0,,15186
22.03.27,2517137,59151,0,,,3372,22.03.27,11815841,318130,0,,14899
22.03.26,2457986,64026,0,,,3343,22.03.26,11497711,335531,0,,14617
22.03.25,2393995,66943,0,,,3307,22.03.25,11162232,339514,0,,14294
22.03.24,2327080,77770,0,,,3248,22.03.24,10822836,395598,0,,13902
22.03.23,2249310,101133,0,,,3187,22.03.23,10427247,490881,0,,13432
22.03.22,2148186,65033,0,,,3144,22.03.22,9936540,353980,0,,13141
22.03.21,2083188,41078,0,,,3098,22.03.21,9582815,209169,0,,12757
22.03.20,2042110,65870,0,,,3059,22.03.20,9373646,334708,0,,12428
22.03.19,2038438,82132,0,,,3015,22.03.19,9038938,381454,0,,12101
22.03.18,1894113,81997,0,,,2968,22.03.18,8657609,407017,0,,11782
22.03.17,1812116,128375,0,,,2927,22.03.17,8250592,621266,0,,11484
22.03.16,1683745,81395,1306446,374439.0,0.0,2860,22.03.16,7629275,400741,5868950,1749273.0,11052
22.03.15,1602354,66067,1225081,374439.0,0.0,2834,22.03.15,7228550,362338,5468389,1749273.0,10888
22.03.14,1536292,56807,1159061,374439.0,0.0,2792,22.03.14,6866222,309790,5106354,1749273.0,10595
22.03.13,1479502,67814,1102295,374439.0,0.0,2768,22.03.13,6556453,350190,4796785,1749273.0,10395
22.03.12,1411694,80437,1034516,374439.0,20838.0,2739,22.03.12,6206277,383665,4446860,1749273.0,10144
22.03.11,1331263,56603,974969,353601.0,0.0,2693,22.03.11,5822626,282987,4254654,1558097.0,9875
22.03.10,1274661,66859,918399,353601.0,0.0,2661,22.03.10,5539650,327549,4029342,1500662.0,9646
